업종명,인허가일자,업소명,도로명주소,영업장면적,영업자시작일,업태명
일반음식점,1976-08-06,내일은 해가뜬다,서울특별시 성동구 고산자로 354 (마장동),64.65,1998-03-03,한식
일반음식점,1977-09-01,늘봄갈비,서울특별시 성동구 왕십리로5길 12 (성수동1가),15.08,2008-10-28,분식
일반음식점,1978-05-16,하늘반점,,78.17,2003-09-01,중국식
일반음식점,1980-04-30,부덕관,서울특별시 성동구 성덕정길 51 (성수동1가),49.1,1992-05-08,중국식
일반음식점,1980-03-25,유래회관,"서울특별시 성동구 마장로 196 (홍익동,지상2,3층)","1,063.55",2011-06-23,한식
일반음식점,1980-10-27,먹거리장터2,서울특별시 성동구 행당로17길 16 (행당동),93.58,2007-06-08,한식
일반음식점,1980-12-26,김밥천국,서울특별시 성동구 마장로 223 (마장동),26.4,2008-06-12,김밥(도시락)
일반음식점,1981-06-22,남경관,서울특별시 성동구 광나루로2길 16 (성수동2가),63.94,1986-05-22,중국식
일반음식점,1982-06-08,닭한마리,서울특별시 성동구 아차산로 96 (성수동2가),40.04,1998-11-02,한식
일반음식점,1981-11-27,제일,,51.87,1996-01-12,한식
일반음식점,1981-10-21,성수숯불갈비,서울특별시 성동구 아차산로7길 45 (성수동2가),110.92,1997-10-16,한식
일반음식점,1981-10-19,온누리식당,"서울특별시 성동구 연무장17길 6 (성수동2가,,76)",30.81,2011-03-03,한식
일반음식점,1982-06-17,삼천만회집,서울특별시 성동구 아차산로 87 (성수동2가),34.4,1999-01-27,한식
일반음식점,1982-10-27,복천루,,64.65,2009-06-30,중국식
일반음식점,1982-07-19,원할머니보쌈,서울특별시 성동구 왕십리로21다길 39 (행당동),67.58,2010-06-17,한식
일반음식점,1982-04-22,217,"서울특별시 성동구 자동차시장1길 70, 지하 가동 8호 (용답동)",17.5,1985-06-17,한식
일반음식점,1982-10-20,마포숯불갈비,서울특별시 성동구 무수막길 89 (금호동2가),77.49,2010-06-04,한식
일반음식점,1982-12-17,특우정,서울특별시 성동구 무학로12길 13 (홍익동),94.66,1986-04-22,한식
일반음식점,1982-09-20,원조사철냉면,서울특별시 성동구 마조로 17 (행당동),75.94,2012-04-03,한식
일반음식점,1988-06-03,킴스치킨,서울특별시 성동구 상원길 44 (성수동1가),37.68,1991-02-26,통닭(치킨)
일반음식점,1983-03-04,둘둘치킨,서울특별시 성동구 마조로 33 (행당동),24.48,2006-08-03,통닭(치킨)
일반음식점,1983-06-11,행운,서울특별시 성동구 아차산로 96 (성수동2가),40.42,2001-10-06,호프/통닭
일반음식점,1983-05-23,소담,서울특별시 성동구 왕십리로24길 5 (도선동),28.27,2008-10-06,한식
일반음식점,1983-10-22,성수장,서울특별시 성동구 아차산로11길 11 (성수동2가),76.12,2004-04-23,중국식
일반음식점,1983-12-06,대흥정육점식당,서울특별시 성동구 왕십리로 139 (성수동1가),26.6,2011-06-15,한식
일반음식점,1983-07-27,원주복추어탕,서울특별시 성동구 광나루로4길 19 (성수동2가),22.63,1996-10-09,한식
일반음식점,1983-02-26,별바다,서울특별시 성동구 마장로 328 (마장동),103.2,2003-09-13,일식
일반음식점,1983-07-19,제일식당,서울특별시 성동구 마조로 21 (행당동),55.86,1999-12-15,한식
일반음식점,1984-02-28,꼬끼오,"서울특별시 성동구 고산자로 335-2, 1층 (마장동, 478-2)",28.48,2012-08-17,호프/통닭
일반음식점,1984-06-30,충남식당,서울특별시 성동구 성덕정19길 22 (성수동2가),17.76,1984-06-30,한식
일반음식점,1984-04-19,한양설렁탕 앤 포차,서울특별시 성동구 마조로 75 (마장동),34.94,2001-06-15,한식
일반음식점,1984-03-30,가득식당,"서울특별시 성동구 뚝섬로1길 55 (성수동1가,(지상1층))",40.71,2002-11-14,한식
일반음식점,1984-12-17,후다닭큐바베큐,,27.6,2010-10-12,호프/통닭
일반음식점,1984-09-25,명문의집,"서울특별시 성동구 마장로 360 (용답동, 121 명문예식장)",396,1989-03-30,한식
일반음식점,1985-04-24,오는정,서울특별시 성동구 무학봉길 89 (하왕십리동),18.15,2011-04-20,한식
일반음식점,1985-08-28,곽가네왕갈비탕,"서울특별시 성동구 독서당로 290 (금호동4가,,586,575)",38.36,2011-05-18,한식
일반음식점,1985-12-02,민물집,서울특별시 성동구 아차산로13길 37 (성수동2가),22.75,1993-07-06,한식
일반음식점,1985-05-09,청해루,"서울특별시 성동구 자동차시장1길 24-1, 2층 (용답동)",72,2007-06-26,중국식
일반음식점,1985-04-03,생태한마리,서울특별시 성동구 뚝섬로 408-7 (성수동2가),26.6,2009-02-17,한식
일반음식점,1985-12-05,고향식당,"서울특별시 성동구 자동차시장1길 90, A동지하가 31,32호호 (용답동, 234)",62.7,1995-12-29,한식
일반음식점,1985-10-17,무도칡냉면,서울특별시 성동구 마장로 186 (홍익동),21.46,1997-09-09,한식
일반음식점,1985-11-04,다도식당,서울특별시 성동구 아차산로 87 (성수동2가),25.7,2000-02-24,한식
일반음식점,1986-09-10,풍년정육점식당,서울특별시 성동구 상원10길 6 (성수동1가),97.17,2010-09-15,한식
일반음식점,1986-12-22,볼카노호프,서울특별시 성동구 왕십리로 291-2 (행당동),36.19,2005-11-24,호프/통닭
일반음식점,1986-12-06,한서칼국수,서울특별시 성동구 연무장7길 16 (성수동2가),31.92,2008-03-25,한식
일반음식점,1986-05-23,금옥정,서울특별시 성동구 금호로3길 18-44 (금호동4가),26.78,2010-10-04,한식
일반음식점,1986-08-05,오복집,,58,2003-03-12,한식
일반음식점,1986-09-08,용원식당,,47.61,1997-05-06,한식
일반음식점,1987-02-05,닭한마리,서울특별시 성동구 광나루로 289 (송정동),27.6,1995-02-11,한식
일반음식점,1987-07-29,동호일식,서울특별시 성동구 천호대로 328 (용답동),127.16,2006-07-27,일식
일반음식점,1987-06-15,광주식당,서울특별시 성동구 금호로 66 (금호동1가),23.97,1987-06-15,한식
일반음식점,1987-07-10,우촌숯불갈비,서울특별시 성동구 장터길 44-1 (금호동4가),53.35,2006-06-27,한식
일반음식점,1988-10-10,성수치킨,서울특별시 성동구 아차산로 116 (성수동2가),49.92,1991-12-20,통닭(치킨)
